"Date","Symbol","Marketcapname","Sector"
"04-02-2026","CANTABIL","Smallcap","Textiles"
"05-02-2026","TORNTPOWER","Largecap","Power & Utilities"
"06-02-2026","SAIL","Largecap","Metals & Mining"
"09-02-2026","IFCI","Largecap","Financials"
"09-02-2026","INDUSTOWER","Largecap","Telecom"
"10-02-2026","MOTHERSON","Largecap","Auto"
"10-02-2026","TORNTPOWER","Largecap","Power & Utilities"
"11-02-2026","ASHIANA","Smallcap","Realty"
"11-02-2026","IOC","Largecap","Energy"
"12-02-2026","MFSL","Largecap","Financials"
"16-02-2026","ASTRAL","Largecap","Plastic products"
"17-02-2026","MANGLMCEM","Smallcap","Building Materials"
"17-02-2026","SMSPHARMA","Smallcap","Healthcare"
"18-02-2026","MARICO","Largecap","FMCG"
"18-02-2026","MAHABANK","Largecap","Bank"
"18-02-2026","INDIANB","Largecap","Bank"
"18-02-2026","AEROFLEX","Midcap","Metals & Mining"
"19-02-2026","NITINSPIN","Smallcap","Textiles"
"20-02-2026","VESUVIUS","Midcap","Building Materials"
"20-02-2026","GAEL","Midcap","FMCG"
"23-02-2026","CIEINDIA","Midcap","Industrials"
"23-02-2026","INDIANB","Largecap","Bank"
"24-02-2026","J&KBANK","Midcap","Bank"
"25-02-2026","NATCOPHARM","Midcap","Healthcare"
"26-02-2026","J&KBANK","Midcap","Bank"
"27-02-2026","SUNTV","Largecap","Media"
"10-03-2026","AUROPHARMA","Largecap","Healthcare"
"11-03-2026","KTKBANK","Midcap","Bank"
"11-03-2026","AKUMS","Midcap","Healthcare"
"12-03-2026","COALINDIA","Largecap","Metals & Mining"
"18-03-2026","GODAVARIB","Smallcap","FMCG"
"20-03-2026","AETHER","Largecap","Chemicals"
"25-03-2026","GRANULES","Largecap","Healthcare"
"27-03-2026","ATHERENERG","Largecap","Auto"
"01-04-2026","MBAPL","Smallcap","Chemicals"
"06-04-2026","GRANULES","Largecap","Healthcare"
"07-04-2026","ALIVUS","Midcap","Healthcare"
"08-04-2026","ARFIN","Smallcap","Metals & Mining"
"08-04-2026","ANANDRATHI","Largecap","Financials"
"09-04-2026","HONASA","Midcap","Services"
"09-04-2026","BELRISE","Largecap","Auto"
"10-04-2026","ISGEC","Midcap","Realty"
"10-04-2026","SBC","Smallcap","Textiles"
"10-04-2026","INOXINDIA","Midcap","Industrials"
"13-04-2026","AKUMS","Midcap","Healthcare"
"15-04-2026","JINDALSAW","Midcap","Industrials"
"15-04-2026","TATAPOWER","Largecap","Power & Utilities"
"15-04-2026","NMDC","Largecap","Metals & Mining"
"15-04-2026","GPIL","Midcap","Metals & Mining"
"15-04-2026","KIRLOSENG","Largecap","Industrials"
"16-04-2026","NLCINDIA","Largecap","Power & Utilities"
"16-04-2026","VISHNU","Smallcap","Chemicals"
"16-04-2026","SGFIN","Smallcap","Financials"
"16-04-2026","IGIL","Midcap","Miscellaneous"
"16-04-2026","SENORES","Midcap","Healthcare"
"17-04-2026","CGPOWER","Largecap","Industrials"
