"Date","Symbol","Marketcapname","Sector"
"04-09-2023","DALMIASUG","Smallcap","FMCG"
"04-09-2023","ANDHRAPAP","Smallcap","Building Materials"
"04-09-2023","NAHARINDUS","Smallcap","Textiles"
"04-09-2023","ASAL","Smallcap","Auto"
"04-09-2023","SARLAPOLY","Smallcap","Textiles"
"04-09-2023","KRBL","Midcap","FMCG"
"04-09-2023","HCLTECH","Largecap","I.T"
"04-09-2023","SASKEN","Smallcap","I.T"
"04-09-2023","COALINDIA","Largecap","Metals & Mining"
"04-09-2023","FCL","Midcap","Chemicals"
"04-09-2023","AVADHSUGAR","Smallcap","FMCG"
"04-09-2023","SAPPHIRE","Midcap","Consumer Discretionary"
"11-09-2023","DHAMPURSUG","Smallcap","FMCG"
"11-09-2023","DHANUKA","Smallcap","Chemicals"
"11-09-2023","BCLIND","Smallcap","FMCG"
"11-09-2023","THEMISMED","Smallcap","Healthcare"
"11-09-2023","TECHM","Largecap","I.T"
"11-09-2023","PNCINFRA","Smallcap","Realty"
"18-09-2023","BLUESTARCO","Largecap","Consumer Discretionary"
"18-09-2023","PNBGILTS","Smallcap","Financials"
"18-09-2023","KAPSTON","Smallcap","Miscellaneous"
"25-09-2023","VIPCLOTHNG","Smallcap","Textiles"
"25-09-2023","MSPL","Smallcap","Metals & Mining"
"03-10-2023","SPLPETRO","Midcap","Energy"
"09-10-2023","DECCANCE","Smallcap","Building Materials"
"09-10-2023","ASALCBR","Smallcap","FMCG"
"09-10-2023","PREMIERPOL","Smallcap","Plastic products"
"09-10-2023","DBSTOCKBRO","Smallcap","Financials"
"09-10-2023","CDSL","Largecap","Financials"
"09-10-2023","SPCENET","Smallcap","Services"
"09-10-2023","SKYGOLD","Midcap","Consumer Discretionary"
"09-10-2023","KRSNAA","Smallcap","Healthcare"
"16-10-2023","SURYAROSNI","Smallcap","Industrials"
"16-10-2023","IITL","Smallcap","Financials"
"16-10-2023","KEYFINSERV","Smallcap","Financials"
"16-10-2023","DVL","Smallcap","Services"
"16-10-2023","VHLTD","Smallcap","Services"
"16-10-2023","RCF","Midcap","Chemicals"
"16-10-2023","LINC","Smallcap","Miscellaneous"
"16-10-2023","TNPL","Smallcap","Building Materials"
"16-10-2023","SUPREMEINF","Smallcap","Realty"
"16-10-2023","TEXMOPIPES","Smallcap","Plastic products"
"16-10-2023","EMAMIREAL","Smallcap","Realty"
"16-10-2023","JPOLYINVST","Smallcap","Financials"
"16-10-2023","MACPOWER","Smallcap","Industrials"
"16-10-2023","MARINE","Midcap","Industrials"
"30-10-2023","IVP","Smallcap","Chemicals"
"30-10-2023","SILINV","Smallcap","Financials"
"30-10-2023","IDEA","Largecap","Telecom-Service"
"30-10-2023","AMDIND","Smallcap","Industrials"
"06-11-2023","AMJLAND","Smallcap","Realty"
"06-11-2023","KESORAMIND","Smallcap","Miscellaneous"
"06-11-2023","TEXINFRA","Smallcap","Realty"
"06-11-2023","BLISSGVS","Midcap","Healthcare"
"06-11-2023","MODISONLTD","Smallcap","Industrials"
"06-11-2023","ADOR","Smallcap","Industrials"
"06-11-2023","CARYSIL","Smallcap","Consumer Discretionary"
"06-11-2023","SYNCOMF","Smallcap","Healthcare"
"06-11-2023","GRANULES","Largecap","Healthcare"
"06-11-2023","ALPA","Smallcap","Healthcare"
"06-11-2023","GREENPOWER","Smallcap","Power & Utilities"
"06-11-2023","BROOKS","Smallcap","Healthcare"
"06-11-2023","SHARDAMOTR","Midcap","Auto"
"06-11-2023","VBL","Largecap","FMCG"
"06-11-2023","DPSCLTD","Smallcap","Power & Utilities"
"06-11-2023","CLEDUCATE","Smallcap","Services"
"06-11-2023","GLOBAL","Smallcap","Services"
"06-11-2023","WINDLAS","Smallcap","Healthcare"
"13-11-2023","ASHIMASYN","Smallcap","Miscellaneous"
"13-11-2023","BCLIND","Smallcap","FMCG"
"13-11-2023","BALPHARMA","Smallcap","Healthcare"
"13-11-2023","GVPIL","Smallcap","Realty"
"13-11-2023","RADICO","Largecap","FMCG"
"13-11-2023","COFORGE","Largecap","I.T"
"13-11-2023","A2ZINFRA","Smallcap","Realty"
"13-11-2023","CCAVENUE","Midcap","I.T"
"13-11-2023","DCI","Smallcap","I.T"
"13-11-2023","CAMS","Midcap","Financials"
"20-11-2023","MOREPENLAB","Midcap","Healthcare"
"20-11-2023","PRIMESECU","Smallcap","Financials"
"20-11-2023","VTL","Midcap","Textiles"
"20-11-2023","KOPRAN","Smallcap","Healthcare"
"20-11-2023","63MOONS","Smallcap","I.T"
"20-11-2023","NITINSPIN","Smallcap","Textiles"
"20-11-2023","GILLANDERS","Smallcap","FMCG"
"20-11-2023","HUBTOWN","Smallcap","Realty"
"20-11-2023","RTNINDIA","Smallcap","Financials"
"20-11-2023","NAVKARCORP","Smallcap","Transportation"
"20-11-2023","PRITIKAUTO","Smallcap","Auto"
"20-11-2023","RPSGVENT","Smallcap","I.T"
"28-11-2023","BIRLACORPN","Midcap","Building Materials"
"28-11-2023","APOLLOTYRE","Largecap","Auto"
"28-11-2023","SUDARCOLOR","Smallcap","Chemicals"
"28-11-2023","SHALPAINTS","Smallcap","Building Materials"
"28-11-2023","JYOTISTRUC","Smallcap","Industrials"
"28-11-2023","CONFIPET","Smallcap","Miscellaneous"
"28-11-2023","ADANIPOWER","Largecap","Power & Utilities"
"28-11-2023","PRECOT","Smallcap","Textiles"
"04-12-2023","RELINFRA","Smallcap","Realty"
"04-12-2023","TATAPOWER","Largecap","Power & Utilities"
"04-12-2023","COROMANDEL","Largecap","Chemicals"
"04-12-2023","BALMLAWRIE","Smallcap","Miscellaneous"
"04-12-2023","RCF","Midcap","Chemicals"
"04-12-2023","CCHHL","Smallcap","Services"
"04-12-2023","INDIACEM","Midcap","Building Materials"
"04-12-2023","JUBLPHARMA","Midcap","Healthcare"
"04-12-2023","BANKINDIA","Largecap","Bank"
"04-12-2023","VISACHROME","Smallcap","Metals & Mining"
"04-12-2023","INDOWIND","Smallcap","Power & Utilities"
"04-12-2023","ADANIPORTS","Largecap","Transportation"
"04-12-2023","ELGIRUBCO","Smallcap","FMCG"
"04-12-2023","BDL","Largecap","Aerospace & Defence"
"04-12-2023","AARTIPHARM","Midcap","Healthcare"
"04-12-2023","RHL","Smallcap","Services"
"11-12-2023","TATASTEEL","Largecap","Metals & Mining"
"11-12-2023","GICHSGFIN","Smallcap","Financials"
"11-12-2023","SURANAT&P","Smallcap","Industrials"
"11-12-2023","KITEX","Smallcap","Consumer Discretionary"
"11-12-2023","JMFINANCIL","Midcap","Financials"
"11-12-2023","NILAINFRA","Smallcap","Realty"
"11-12-2023","BANKBARODA","Largecap","Bank"
"11-12-2023","NATIONALUM","Largecap","Metals & Mining"
"11-12-2023","NAUKRI","Largecap","I.T"
"11-12-2023","SATIA","Smallcap","Building Materials"
"11-12-2023","COFFEEDAY","Smallcap","Consumer Discretionary"
"11-12-2023","XPROINDIA","Smallcap","Industrials"
"11-12-2023","SWSOLAR","Smallcap","Realty"
"18-12-2023","BEML","Midcap","Aerospace & Defence"
"18-12-2023","HCL-INSYS","Smallcap","I.T"
"18-12-2023","HFCL","Largecap","Telecom"
"18-12-2023","HARRMALAYA","Smallcap","FMCG"
"18-12-2023","TNPETRO","Smallcap","Energy"
"18-12-2023","SUDARSCHEM","Midcap","Chemicals"
"18-12-2023","TEAMGTY","Smallcap","Financials"
"18-12-2023","GATECH","Smallcap","I.T"
"18-12-2023","SHIVAMAUTO","Smallcap","Auto"
"18-12-2023","ARCHIDPLY","Smallcap","Building Materials"
"18-12-2023","HATHWAY","Smallcap","Telecom-Service"
"18-12-2023","BROOKS","Smallcap","Healthcare"
"18-12-2023","RHIM","Midcap","Building Materials"
"18-12-2023","SALASAR","Smallcap","Metals & Mining"
"18-12-2023","SANSERA","Largecap","Auto"
